2023-08-15 07:12:21 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='lmsys/vicuna-13b-v1.5-16k', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, model_names=None, conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-08-15 07:12:21 | INFO | model_worker | Loading the model ['vicuna-13b-v1.5-16k'] on worker b3754402 ...
2023-08-15 07:12:22 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                                                   | 0/3 [00:00<?, ?it/s]
2023-08-15 07:12:27 | ERROR | stderr | Loading checkpoint shards:  33%|███████████████████████████████████▋                                                                       | 1/3 [00:05<00:10,  5.24s/it]
2023-08-15 07:12:32 | ERROR | stderr | Loading checkpoint shards:  67%|███████████████████████████████████████████████████████████████████████▎                                   | 2/3 [00:09<00:04,  4.67s/it]
2023-08-15 07:12:34 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  3.75s/it]
2023-08-15 07:12:34 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.05s/it]
2023-08-15 07:12:34 | ERROR | stderr | 
2023-08-15 07:12:39 | INFO | model_worker | Register to controller
2023-08-15 07:12:39 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m148703[0m]
2023-08-15 07:12:39 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-08-15 07:12:39 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-08-15 07:12:39 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:21002[0m (Press CTRL+C to quit)
2023-08-15 07:13:24 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b-v1.5-16k']. Semaphore: None. call_ct: 0. worker_id: b3754402. 
